"Authors","Year","Title","Journal","Volume","Issue","DOI","Number_of_Assessments","Number_Relevant","Relevance"
"Moores E.","1996","Societal benefit of basic research","GSA Today","6","8","","2","1","0.0"
"LaCapra D.","2007","Resisting apocalypse and rethinking history","Manifestos for History","","","10.4324/9780203962343","2","1","0.0"
"De Kumar A.","2006","Environment scenario: A mega scan from the big bang to the third millenium","Journal of the Indian Chemical Society","83","6","","2","1","0.0"
"Davis M.","1996","Cosmic dancers on history's stage? The permanent revolution in the Earth sciences","New Left Review","","217","","2","1","0.0"
"Alegret L., Thomas E., Lohmann K.C.","2012","End-Cretaceous marine mass extinction not caused by productivity collapse","Proceedings of the National Academy of Sciences of the United States of America","109","3","10.1073/pnas.1110601109","2","1","0.0"
"Nell M., Richter A.","2005","Catastrophic events as threats to society: Private and public risk management strategies","Risk Management: Challenge and Opportunity","","","10.1007/3-540-26993-2_16","2","1","0.0"
"Kogan I.I., Wheater J.F.","1997","Neuman-Dirichlet tadpoles as new string states and quantum mechanical particle-wave duality from world-sheet t-duality","Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics","403","1-2","","2","1","0.0"
"Rasbash D.J.","1980","CRITERIA FOR DECISIONS ON ACCEPTABILITY OF MAJOR FIRE AND EXPLOSION HAZARDS WITH PARTICULAR REFERENCE TO THE CHEMICAL AND FUEL INDUSTRIES.","Institution of Chemical Engineers Symposium Series","","58","","2","1","0.0"
"Mircea I., Covrig M., Serban R.","2009","On an insurance pricing model for catastrophic risks","Proceedings - 2009 International Conference on Information and Financial Engineering, ICIFE 2009","","","10.1109/ICIFE.2009.34","2","1","0.0"
"Shiki T., Tsuji Y., Minoura K., Yamazaki T.","2008","Tsunamiites - Features and Implications","Tsunamiites - Features and Implications","","","10.1016/B978-0-444-51552-0.X0001-X","2","1","0.0"
"","2007","Intelligent Human Computer Systems for Crisis Response and Management, ISCRAM 2007 Academic Proceedings Papers","Intelligent Human Computer Systems for Crisis Response and Management, ISCRAM 2007 Academic Proceedings Papers","","","","2","1","0.0"
"Kunreuther H., Heal G.","2003","Interdependent Security","Journal of Risk and Uncertainty","26","2-3","10.1023/A:1024119208153","2","1","0.0"
"Randhir T.O., Hawes A.G.","2012","Ecology and poverty in watershed management","Integrating Ecology and Poverty Reduction: Ecological Dimensions","9781441906335","","10.1007/978-1-4419-0633-5_7","2","1","0.0"
"Hecht S.B.","2008","Climate change and the transformation of risk: Insurance matters","UCLA Law Review","55","6","","2","1","0.0"
"McDermott D.","2013","Computationally constrained beliefs","Journal of Consciousness Studies","20","5-6","","2","1","0.0"
"Pohl W.L.","2011","Economic Geology Principles and Practice: Metals, Minerals, Coal and Hydrocarbons - Introduction to Formation and Sustainable Exploitation of Mineral Deposits","Economic Geology Principles and Practice: Metals, Minerals, Coal and Hydrocarbons - Introduction to Formation and Sustainable Exploitation of Mineral Deposits","","","10.1002/9781444394870","2","1","0.0"
"Takemi T.","1976","Human survival, the environment and medical care","Asian Medical Journal","19","10","","2","1","0.0"
"Boyle M., Ford T., Mitchell R., Maki J.","1990","Survival of pathogenic bacteria under nutrient starvation conditions","SAE Technical Papers","","","10.4271/901381","2","1","0.0"
"De Roos A.M., Persson L.","2002","Size-dependent life-history traits promote catastrophic collapses of top predators","Proceedings of the National Academy of Sciences of the United States of America","99","20","10.1073/pnas.192174199","2","1","0.0"
"Parga J.R., Vazquez V., Gonzalez G., Cisneros M.M.","2010","Thermodynamic studies of chromium adsorption on iron species generated by electrocoagulation","Chemical Engineering and Technology","33","10","10.1002/ceat.201000186","2","1","0.0"
"Javaherian A.","2010","Iran: State, civil society, and social emancipation","Critique","38.0","2","10.1080/03017601003668779","2","1","0.0"
"Unger A.J.A.","2010","Pricing index-based catastrophe bonds: Part 2. Object-oriented design issues and sensitivity analysis","Computers and Geosciences","36.0","2","10.1016/j.cageo.2009.06.011","2","1","0.0"
"Bailey M.E.","1991","Comet craters versus asteroid craters","Advances in Space Research","11","6","10.1016/0273-1177(91)90231-8","2","1","0.0"
"","1991","Energy and the doomsday prophets","Architectural Science Review","34","3","10.1080/00038628.1991.9697296","2","1","0.0"
"McClennen S.A.","2010","The humanities, human rights, and the: Comparative imagination","Representing Humanity in an Age of Terror","","","","2","1","0.0"
"Svendsen J., Stollhofen H., Krapf C.B.E., Stanistreet I.G.","2003","Mass and hyperconcentrated flow deposits record dune damming and catastrophic breakthrough of ephemeral rivers, Skeleton Coast Erg, Namibia","Sedimentary Geology","160","1-3","10.1016/S0037-0738(02)00334-2","2","1","0.0"
"Martin P.S.","1990","40, 000 years of extinctions on the ""planet of doom""","Global and Planetary Change","2","1-2","10.1016/0921-8181(90)90048-H","2","1","0.0"
"Manning C.V., Zahnle K.J., McKay C.P.","2009","Impact processing of nitrogen on early Mars","Icarus","199","2","10.1016/j.icarus.2008.10.015","2","1","0.0"
"French B.M.","2004","The importance of being cratered: The new role of meteorite impact as a normal geological process","Meteoritics and Planetary Science","39","2","","2","1","0.0"
"Jiang P., Haimes Y.Y.","2004","Risk management for Leontief-based interdependent systems","Risk Analysis","24","5","10.1111/j.0272-4332.2004.00520.x","2","1","0.0"
"Aragonés López C., Campos Díaz J.R., Sánchez Valdés L., Pérez Avila L.J.","2007","[AIDS Prevention Group: 15 years of sustained efforts for the prevention of HIV/AIDS]. [Grupos de Prevención del SIDA (GPSIDA): 15 años de trabajo sostenido en la prevención del VIH/sida.]","Revista cubana de medicina tropical","59","3","","2","1","0.0"
"Eberl J., Jus D.","2012","Evaluating policies towards the optimal exposure to nuclear risk","9th International Conference on the European Energy Market, EEM 12","","","10.1109/EEM.2012.6254689","2","1","0.0"
"Miguez M.G., Rezende O.M., Veról A.P., De Sousa M.M.","2015","Urban floods in lowlands-levee systems, unplanned urban growth and river restoration alternative: A case study in Brazil","Sustainability (Switzerland)","7","8","10.3390/su70811068","2","1","0.0"
"Chakrabarti A., Ray A.","2016","Design and implementation of technology enabled affective learning using fusion of bio-physical and facial expression","Educational Technology and Society","19","4","","2","1","0.0"
"Parolai S., Bindi D., Oth A., Pittore M., Stankiewicz J., Boxberger T., Wieland M.","2014","Toward a loss-driven earthquake early warning and rapid response system for Kyrgyzstan (Central Asia)","Seismological Research Letters","85","6","10.1785/0220140106","2","1","0.0"
"Errahmani A., Belkacemi M.H., Bouhmadi-López M., Ouali T.","2014","The Holographic Ricci Dark Energy and Its Possible Doomsdays","Springer Proceedings in Mathematics and Statistics","60","","10.1007/978-3-642-40157-2_12","2","1","0.0"
"Wahlqvist M.L.","2014","Climate change and health in East Asia: A food in health security perspective","Climate Change and Global Health","","","","2","1","0.0"
"Fromson J., Simon S.","2015","ISIS: The dubious paradise of apocalypse now","Survival","57","3","10.1080/00396338.2015.1046222","2","1","0.0"
"Scholtz I., Scholtz L.","2016","The First World War as factor in the South African entry into the international community","Tydskrif vir Geesteswetenskappe","56","1","10.17159/2224-7912/2016/v56n1a12","2","1","0.0"
"Smith M.L.","2015","The origins of the sustainability concept: Risk perception and resource management in early urban centers","Research in Economic Anthropology","35","","10.1108/S0190-128120150000035009","2","1","0.0"
"Danku Z., Kun F.","2016","Fracture process of a fiber bundle with strong disorder","Journal of Statistical Mechanics: Theory and Experiment","2016","7","10.1088/1742-5468/2016/07/073211","2","1","0.0"
"Chen Y., Qi X.H., Ye S., Ye S.L., Lin R.P.","2015","A study on the perception of heat waves among urban residents: Based on a survey in Fuzhou","Shengtai Xuebao/ Acta Ecologica Sinica","35","20","10.5846/stxb201403240531","2","1","0.0"
"Bellmer R.J.","2001","Restoration success criteria","Oceans Conference Record (IEEE)","1","","","2","1","0.0"
"McGowan F.","2011","Putting energy insecurity into historical context: European responses to the energy crises of the 1970s and 2000s","Geopolitics","16","3","10.1080/14650045.2011.520857","2","1","0.0"
"Fountain A.G., Jacobel R.W., Schlichting R., Jansson P.","2005","Fractures as the main pathways of water flow in temperate glaciers","Nature","433","7026","10.1038/nature03296","2","1","0.0"
"Harries P.J.","1999","Repopulations from Cretaceous mass extinctions: Environmental and/or evolutionary controls?","Special Paper of the Geological Society of America","332","","10.1130/0-8137-2332-9.345","2","1","0.0"
"Woodarda J.D., Garcia P.","2008","Weather derivatives, spatial aggregation, and systemic risk: Implications for reinsurance hedging","Journal of Agricultural and Resource Economics","33","1","","2","1","0.0"
"Cui G.-M., Ding J.-H.","2011","On the perfection of China's legal system of eco-compensation for land resources utilization","Regulatory Regional Economic Challenge and Project Management in Sustain - Call of Paper from the 2nd International Symposium on Project Management, ISPMREC 2011","","","","2","1","0.0"
"Funk G.","2003","Between apocalypse and Arcadia: Horst Lange's visionary imagination during the third Reich","Flight of Fantasy: New Perspectives on Inner Emigration in German Literature 1933-1945","","","","2","1","0.0"
"Martin T.G., Chadès I., Arcese P., Marra P.P., Possingham H.P., Norris D.R.","2007","Optimal conservation of migratory species","PLoS ONE","2","8","10.1371/journal.pone.0000751","2","1","0.0"
"Perini L., Ceccarelli T., Zitti M., Salvati L.","2009","Insight desertification process: Bio-physical and socio-economic drivers in Italy [Comprendere i processi di desertificazione in Italia: Il ruolo delle variabili bio-fisiche e socio-economiche]","Italian Journal of Agrometeorology","","3","","2","1","0.0"
"Kim J.-H., Jeon B.-Y., Jeon J.-H.","2008","Application of fluid-structure interaction technique for underwater explosion analysis of a submarine liquefied oxygen tank considering survivabilty","Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE","2","","","2","1","0.0"
"Zetlin Lev","1985","LEARNING FROM FAILURES.","","","","","2","1","0.0"
"Zhao L., Wei X., Huang G., Meng L., Zhu L.","2013","Evaluation and gradations of cultivated land fertility in Karst area","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","29","8","10.3969/j.issn.1002-6819.2013.08.028","2","1","0.0"
"Yellman T.W.","2010","Two Interpretations of Frequency","Risk Analysis","30","10","10.1111/j.1539-6924.2010.01495.x","2","1","0.0"
"Tesfamariam S., Goda K.","2013","Seismic risk analysis and management of civil infrastructure systems: An overview","Handbook of Seismic Risk Analysis and Management of Civil Infrastructure Systems","","","10.1533/9780857098986.2.141","2","1","0.0"
"Stroganova E.","1999","Millenarian Representations of the Contemporary Buryats","Inner Asia","1","1","","2","1","0.0"
"Izokh E.P.","1996","Origin of tektites: An alternative to terrestrial impact theory","Chemie der Erde - Geochemistry","56","4","","2","1","0.0"
"Solomon R.D.","1985","Apocalypse movement","Human Pathology","16","8","10.1016/S0046-8177(85)80265-3","2","1","0.0"
"Smil V.","2013","The Last Eighty Years: Continuities and Change","Population and Development Review","38","SUPPL.1","10.1111/j.1728-4457.2013.00563.x","2","1","0.0"
"Lorenzo-Toja Y., Kahhat R., Vázquez-Rowe I.","2017","Natural disasters and climate change call for the urgent decentralization of urban water systems","Science of the Total Environment","605-606","","10.1016/j.scitotenv.2017.06.222","2","1","0.0"
"Kelly C.","1995","Assessing disaster needs in megacities: Perspectives from developing countries","GeoJournal","37","3","10.1007/BF00814020","2","1","0.0"
"Norman Glaister J.","1956","HUMAN SURVIVAL: PRIZE FOR AN ESSAY","The Lancet","267","6921","","2","1","0.0"
"Charpentier A.","2008","Insurability of climate risks","Geneva Papers on Risk and Insurance: Issues and Practice","33","1","10.1057/palgrave.gpp.2510155","2","1","0.0"
"Morton T.","2013","Hyperobjects: Philosophy and ecology after the end of the world","Hyperobjects: Philosophy and Ecology After the End of the World","","","","2","1","0.0"
"Hagerty D.J., Parola A.C., Fenske T.E.","1995","Impacts of 1993 upper Mississippi River Basin Floods on highway systems","Transportation Research Record","","1483","","2","1","0.0"
